Seat,Seat UID,State,Election Date,Candidate Name,Party,Coalition,Votes,Votes %,Result,Total Voters,Turnout,Turnout %,Rejected Votes,Majority,Majority %
N.27 Rantau,,Negeri Sembilan,2023-08-12,Mohamad bin Hasan (Tok Mat),UMNO,BN,16957,71.74832867902174,won,32890,23834,72.46579507449073,161,10280,43.49665735804349
N.27 Rantau,,Negeri Sembilan,2023-08-12,Rozmal bin Malakan,PAS,PN,6677,28.25167132097825,lost,32890,23834,72.46579507449073,161,10280,43.49665735804349
N.28 Kota,,Negeri Sembilan,2023-08-12,Suhaimi bin Aini,UMNO,BN,5869,50.58174610014652,won,16510,11723,71.00545124167171,96,135,1.1634922002930277
N.28 Kota,,Negeri Sembilan,2023-08-12,Ahmad Shukri bin Abdul Shukor,BERSATU,PN,5734,49.41825389985349,lost,16510,11723,71.00545124167171,96,135,1.1634922002930277
N.29 Chuah,,Negeri Sembilan,2023-08-12,Yew Boon Lye,PKR,PH,8172,81.3458092773243,won,15095,10159,67.30043060616097,101,6298,62.69161855464862
N.29 Chuah,,Negeri Sembilan,2023-08-12,Tang Jay Son,GERAKAN,PN,1874,18.654190722675693,lost,15095,10159,67.30043060616097,101,6298,62.69161855464862
N.30 Lukut,,Negeri Sembilan,2023-08-12,Choo Ken Hwa,DAP,PH,13696,79.36489540476327,won,26806,17418,64.9779900022383,145,10135,58.72979080952657
N.30 Lukut,,Negeri Sembilan,2023-08-12,Ragu a/l Subramaniam,PAS,PN,3561,20.635104595236715,lost,26806,17418,64.9779900022383,145,10135,58.72979080952657
N.31 Bagan Pinang,,Negeri Sembilan,2023-08-12,Abdul Fatah bin Zakaria,PAS,PN,10921,59.301694178974806,won,27790,21031,75.67830154731918,2585,3426,18.60338835794961
N.31 Bagan Pinang,,Negeri Sembilan,2023-08-12,Mohd Najib bin Mohd Isa,UMNO,BN,7495,40.698305821025194,lost,27790,21031,75.67830154731918,2585,3426,18.60338835794961
N.32 Linggi,,Negeri Sembilan,2023-08-12,Mohd Faizal bin Ramli,UMNO,BN,7832,55.14327958881926,won,20696,14551,70.30827212988017,98,1461,10.286559177638527
N.32 Linggi,,Negeri Sembilan,2023-08-12,Zamri bin Md Said,BERSATU,PN,6371,44.85672041118073,lost,20696,14551,70.30827212988017,98,1461,10.286559177638527
N.33 Sri Tanjung,,Negeri Sembilan,2023-08-12,Rajasekaran a/l Gunnasekaran (Dr. Raja),PKR,PH,8239,66.0070501522192,won,19431,12599,64.8396891565025,98,3996,32.014100304438394
N.33 Sri Tanjung,,Negeri Sembilan,2023-08-12,Zabidi bin Ariffin,BERSATU,PN,4243,33.99294984778081,lost,19431,12599,64.8396891565025,98,3996,32.014100304438394
N.34 Gemas,,Negeri Sembilan,2023-08-12,Ridzuan bin Ahmad,BERSATU,PN,11653,57.72812840582582,won,29648,20453,68.98610361575822,251,3120,15.45625681165164
N.34 Gemas,,Negeri Sembilan,2023-08-12,Abdul Razak bin Ab Said,UMNO,BN,8533,42.27187159417418,lost,29648,20453,68.98610361575822,251,3120,15.45625681165164
N.35 Gemencheh,,Negeri Sembilan,2023-08-12,Suhaimizan bin Bizar (Hai),UMNO,BN,8905,57.914932362122784,won,24602,15519,63.08023737907488,123,2434,15.829864724245576
N.35 Gemencheh,,Negeri Sembilan,2023-08-12,Tengku Abdullah bin Tengku Rakman (Ustaz Tengku),PAS,PN,6471,42.08506763787721,lost,24602,15519,63.08023737907488,123,2434,15.829864724245576
N.36 Repah,,Negeri Sembilan,2023-08-12,Veerapan a/l Superamaniam,DAP,PH,11507,67.43436474449133,won,27284,17277,63.322826565019795,193,5950,34.86872948898265
N.36 Repah,,Negeri Sembilan,2023-08-12,Elaine Yong Li Yi,GERAKAN,PN,5557,32.565635255508674,lost,27284,17277,63.322826565019795,193,5950,34.86872948898265
